objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,moos,counter,ver,coreid,published_at,createdAt,updatedAt
N7SBHXRu5k,MOOSPMv3Parser,1689326401,12.11,12.11,8.83,18.13,18.04,9.28,9.29,19.33,19.33,9.3,2409.1,642.48,30232.91,109.35,69.09,6.78,69.38,69.39,19.7,50.3,69.4,0.43,20.4,20.9,62.3,60.4,0.059,289.3,1.0,36.529228,-119.293381,86.427002,10,58,599,1,e00fce68e739ecbcf9e91965,2023-07-14 09:20:02.744000+00:00,2023-07-14T09:20:02.927Z,2023-07-14T09:20:02.927Z
5W6tgpF6yC,MOOSPMv3Parser,1689326401,1.65,1.65,2.28,2.62,2.62,2.4,2.4,2.91,2.91,2.4,482.56,126.99,7407.76,21.17,17.79,1.38,17.86,17.87,21.0,38.7,17.87,0.45,21.4,23.0,45.1,40.5,24.186,104.2,3.0,36.010521,-120.140366,221.882996,11,58,600,1,e00fce6850cac69f647dc199,2023-07-14 09:20:02.792000+00:00,2023-07-14T09:20:02.969Z,2023-07-14T09:20:02.969Z
OM4veOPrsM,MOOSPMv3Parser,1689326401,-9.0,-9.0,1.98,-9.0,-9.0,2.19,2.28,-9.0,-9.0,2.32,-9.0,-9.0,175.44,-9.0,15.42,-9.0,15.57,15.58,-9.9,-9.9,15.58,0.58,22.1,21.2,45.4,48.7,22.366,125.2,3276.7,36.139034,-120.368507,159.268997,6,58,600,2,e00fce68e28dcbc9a589be10,2023-07-14 09:20:02.804000+00:00,2023-07-14T09:20:03.048Z,2023-07-14T09:20:03.048Z
rZYZlkROj0,MOOSPMv3Parser,1689326400,1.5,1.5,1.88,2.43,2.43,1.98,1.99,2.55,2.55,1.99,440.03,124.72,32675.92,17.59,14.71,0.93,14.78,14.78,20.5,41.6,14.78,0.45,22.0,22.5,45.4,41.7,20.195,68.2,7.1,36.130131,-120.333862,176.753006,10,58,599,1,e00fce68f12da1a0c5de6248,2023-07-14 09:20:03.153000+00:00,2023-07-14T09:20:03.390Z,2023-07-14T09:20:03.390Z
upEfy6Wp83,MOOSPMv3Parser,1689326401,1.69,1.69,2.58,3.13,3.13,3.22,3.64,3.51,3.51,3.85,464.36,131.16,74735.55,25.67,19.68,2.87,20.28,20.39,22.5,32.7,20.42,0.59,24.7,24.7,38.4,38.2,0.006,216.1,2.0,35.613247,-119.689606,60.868999,11,58,600,1,e00fce68e88237db75a60608,2023-07-14 09:20:04.417000+00:00,2023-07-14T09:20:04.605Z,2023-07-14T09:20:04.605Z
hEMHkmdTrv,MOOSPMv3Parser,1689326401,2.33,2.33,3.01,4.01,4.01,3.16,3.16,4.93,4.93,3.16,530.64,165.56,82841.14,32.6,23.57,2.9,23.66,23.67,0.6,0.4,23.67,0.43,22.3,21.8,56.2,56.7,9.691,211.3,1.0,36.433872,-119.922783,40.243999,9,58,600,1,e00fce6876826e255108c6bd,2023-07-14 09:20:05.271000+00:00,2023-07-14T09:20:05.450Z,2023-07-14T09:20:05.450Z
Xcyu9rs9ev,MOOSPMv3Parser,1689327000,0.78,0.78,1.66,1.47,1.47,1.74,1.74,1.7,1.7,1.74,321.72,93.97,145450.48,15.41,13.01,0.77,13.06,13.06,22.9,40.1,13.06,0.43,25.1,25.0,41.1,41.4,14.515,224.3,3.0,36.785419,-119.77314,75.377998,6,58,604,1,e00fce6856818e5885f65487,2023-07-14 09:30:01.771000+00:00,2023-07-14T09:30:01.958Z,2023-07-14T09:30:01.958Z
WVKZgzmdkX,MOOSPMv3Parser,1689327001,0.0,0.0,0.35,0.04,0.04,0.54,0.7,0.04,0.04,0.77,54.76,14.68,28.97,2.73,2.52,0.33,2.74,2.78,22.9,42.8,2.79,0.81,0.0,24.8,0.0,48.1,0.0,151.7,1.0,47.047665,-122.882149,65.195999,5,58,600,2,e00fce68afb0ec9f5087904a,2023-07-14 09:30:02.171000+00:00,2023-07-14T09:30:02.420Z,2023-07-14T09:30:02.420Z
J3IrsAPiMV,MOOSPMv3Parser,1689327000,1.68,1.68,2.01,2.99,2.99,2.18,2.25,3.45,3.45,2.28,482.78,133.23,6202.5,23.65,15.64,2.34,15.78,15.8,19.9,43.5,15.8,0.45,22.1,21.5,48.8,49.4,18.862,187.9,2.0,36.139019,-120.368294,185.300003,10,58,600,1,e00fce6808784ceaf209f949,2023-07-14 09:30:02.318000+00:00,2023-07-14T09:30:02.529Z,2023-07-14T09:30:02.529Z
rF0hleiWQA,MOOSPMv3Parser,1689327000,1.68,1.68,2.03,2.85,2.85,2.17,2.21,3.47,3.47,2.22,516.37,135.67,70650.09,24.18,15.9,2.24,16.0,16.01,20.4,42.4,16.01,0.46,22.0,22.3,45.9,43.8,14.747,213.2,1.8,36.634281,-120.382339,28.159,10,58,600,1,e00fce6835b6173deb1a1f49,2023-07-14 09:30:02.349000+00:00,2023-07-14T09:30:02.574Z,2023-07-14T09:30:02.574Z
Zi1axbVrYC,MOOSPMv3Parser,1689327001,1.12,1.12,2.37,1.97,1.97,2.5,2.5,2.19,2.19,2.51,476.59,121.77,7423.92,17.2,18.57,1.38,18.65,18.65,21.1,40.3,18.65,0.45,22.9,22.9,43.5,42.6,29.518,84.6,3.0,36.010513,-120.140396,223.753998,11,58,600,1,e00fce6850cac69f647dc199,2023-07-14 09:30:02.563000+00:00,2023-07-14T09:30:02.802Z,2023-07-14T09:30:02.802Z
wXe5KTuy6e,MOOSPMv3Parser,1689327001,9.57,9.57,6.8,14.24,14.24,7.13,7.13,15.12,15.12,7.13,2029.11,527.56,30228.88,81.46,53.22,6.14,53.43,53.43,19.5,50.4,53.44,0.42,19.9,20.7,62.6,60.1,0.047,273.5,1.0,36.52927,-119.293396,87.866997,10,58,600,1,e00fce68e739ecbcf9e91965,2023-07-14 09:30:02.744000+00:00,2023-07-14T09:30:02.995Z,2023-07-14T09:30:02.995Z
lnGbytcIpf,MOOSPMv3Parser,1689327001,-9.0,-9.0,1.97,-9.0,-9.0,2.17,2.26,-9.0,-9.0,2.3,-9.0,-9.0,188.57,-9.0,15.36,-9.0,15.51,15.52,-9.9,-9.9,15.53,0.59,21.8,21.0,49.3,51.8,20.44,165.7,3276.7,36.138996,-120.368431,177.013,6,58,600,2,e00fce68e28dcbc9a589be10,2023-07-14 09:30:02.904000+00:00,2023-07-14T09:30:03.089Z,2023-07-14T09:30:03.089Z
PbrKsWEBwa,MOOSPMv3Parser,1689327001,1.13,1.13,1.9,2.08,2.08,2.0,2.01,2.23,2.23,2.02,424.2,120.64,32634.43,16.51,14.84,1.19,14.91,14.91,20.6,41.1,14.91,0.46,22.3,22.5,44.4,41.4,21.017,50.2,8.0,36.130131,-120.333862,176.75,0,58,600,1,e00fce68f12da1a0c5de6248,2023-07-14 09:30:03.280000+00:00,2023-07-14T09:30:03.472Z,2023-07-14T09:30:03.472Z
