objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
pqkBbTPGGp,MOOSPMv3Parser,1724890800,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,882.0,240.0,21852.0,39.0,23.0,2.0,23.0,23.0,37.0,10.0,23.0,0.0,39.0,43.0,15.0,15.0,78.256,52.0,3277.0,36.138912,-120.368332,169.167999,5,600,58,3,e00fce68e28dcbc9a589be10,2024-08-29 00:20:04.215000+00:00,2024-08-29T00:20:04.455Z,2024-08-29T00:20:04.455Z
xvD0Mx3yeb,MOOSPMv3Parser,1724890800,2.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,983.0,208.0,55662.0,30.0,20.0,1.0,20.0,20.0,36.0,7.0,20.0,0.0,38.0,42.0,14.0,14.0,510.846,105.0,1.0,36.010612,-120.140312,224.574005,6,600,58,3,e00fce6850cac69f647dc199,2024-08-29 00:20:04.313000+00:00,2024-08-29T00:20:04.511Z,2024-08-29T00:20:04.511Z
WA8rIIzMVi,MOOSPMv3Parser,1724890801,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,887.0,243.0,23156.0,30.0,20.0,1.0,20.0,20.0,38.0,10.0,20.0,0.0,40.0,45.0,15.0,13.0,51.907,106.0,1.0,36.138866,-120.368439,197.860001,0,600,58,3,e00fce68f12da1a0c5de6248,2024-08-29 00:20:04.529000+00:00,2024-08-29T00:20:04.737Z,2024-08-29T00:20:04.737Z
p3BiwnqV4W,MOOSPMv3Parser,1724890801,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,900.0,231.0,24378.0,38.0,24.0,2.0,24.0,24.0,36.0,9.0,24.0,0.0,39.0,42.0,15.0,15.0,55.483,64.0,1.0,36.138966,-120.368294,177.554993,7,600,58,3,e00fce68e88237db75a60608,2024-08-29 00:20:04.729000+00:00,2024-08-29T00:20:04.930Z,2024-08-29T00:20:04.930Z
qZBGd3A2Ul,MOOSPMv3Parser,1724891401,9.0,9.0,6.0,11.0,11.0,7.0,7.0,12.0,12.0,7.0,1750.0,498.0,14438.0,76.0,49.0,3.0,50.0,50.0,36.0,12.0,50.0,0.0,38.0,42.0,20.0,19.0,511.495,25.0,1.0,36.78537,-119.773087,66.392998,8,600,58,3,e00fce6856818e5885f65487,2024-08-29 00:29:59.165000+00:00,2024-08-29T00:29:59.387Z,2024-08-29T00:29:59.387Z
jU6kwYbyM1,MOOSPMv3Parser,1724891400,2.68,2.68,6553.5,3.97,3.97,6553.5,6553.5,4.1,4.1,6553.5,741.74,219.26,4958386.5,28.97,6553.5,1.38,6553.5,6553.5,37.5,15.6,6553.5,65.54,0.0,327.7,0.0,655.3,50.567,6553.5,6553.5,0.0,0.0,0.0,0,590,58,1,e00fce682bbf742cd0b6768a,2024-08-29 00:30:02.011000+00:00,2024-08-29T00:30:02.212Z,2024-08-29T00:30:02.212Z
u7QkeEmfcL,MOOSPMv3Parser,1724891401,7.0,7.0,4.0,9.0,9.0,5.0,5.0,10.0,10.0,5.0,1393.0,374.0,1355.0,59.0,33.0,4.0,34.0,34.0,36.0,12.0,34.0,0.0,38.0,41.0,20.0,21.0,0.003,141.0,1.0,35.949474,-119.050179,106.307999,7,600,58,3,e00fce6808784ceaf209f949,2024-08-29 00:30:02.396000+00:00,2024-08-29T00:30:02.606Z,2024-08-29T00:30:02.606Z
z4tULra23K,MOOSPMv3Parser,1724891400,3.28,3.28,2.05,4.73,4.73,2.15,2.15,5.03,5.03,2.15,1120.91,253.19,21675.6,33.89,16.05,1.63,16.11,16.12,38.2,9.1,16.12,0.36,39.1,44.1,15.2,14.5,0.0,137.8,1.0,36.138954,-120.368408,162.757004,7,600,58,1,e00fce68e77e43df92405fdb,2024-08-29 00:30:02.663000+00:00,2024-08-29T00:30:02.918Z,2024-08-29T00:30:02.918Z
KbpjRQbyC8,MOOSPMv3Parser,1724891401,4.0,4.0,4.0,6.0,6.0,5.0,5.0,7.0,7.0,6.0,829.0,251.0,1381.0,39.0,31.0,6.0,32.0,32.0,0.0,0.0,32.0,1.0,38.0,39.0,19.0,19.0,0.0,8.0,1.0,36.43362,-119.923355,35.723999,8,600,58,3,e00fce6876826e255108c6bd,2024-08-29 00:30:03.233000+00:00,2024-08-29T00:30:03.435Z,2024-08-29T00:30:03.435Z
rEdG56DfBd,MOOSPMv3Parser,1724891400,2.0,2.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,973.0,210.0,55680.0,34.0,20.0,2.0,20.0,20.0,36.0,7.0,20.0,0.0,38.0,41.0,14.0,14.0,510.931,85.0,1.0,36.010456,-120.140366,201.108994,6,600,58,3,e00fce6850cac69f647dc199,2024-08-29 00:30:04.385000+00:00,2024-08-29T00:30:04.576Z,2024-08-29T00:30:04.576Z
LCf2LFLyIc,MOOSPMv3Parser,1724891400,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,911.0,249.0,21873.0,38.0,23.0,2.0,24.0,24.0,36.0,10.0,24.0,0.0,39.0,42.0,15.0,15.0,80.099,43.0,3277.0,36.138973,-120.368324,164.328995,7,600,58,3,e00fce68e28dcbc9a589be10,2024-08-29 00:30:04.522000+00:00,2024-08-29T00:30:04.748Z,2024-08-29T00:30:04.748Z
jQlKDHQChd,MOOSPMv3Parser,1724891401,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,919.0,251.0,23174.0,36.0,21.0,1.0,21.0,21.0,38.0,10.0,21.0,0.0,40.0,45.0,15.0,14.0,52.502,89.0,1.0,36.138901,-120.368416,190.567001,9,600,58,3,e00fce68f12da1a0c5de6248,2024-08-29 00:30:04.617000+00:00,2024-08-29T00:30:04.810Z,2024-08-29T00:30:04.810Z
2pPx858xpq,MOOSPMv3Parser,1724891401,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,881.0,233.0,24399.0,40.0,24.0,3.0,24.0,24.0,36.0,9.0,24.0,0.0,38.0,42.0,15.0,16.0,56.604,45.0,1.0,36.138973,-120.368324,174.697006,7,600,58,3,e00fce68e88237db75a60608,2024-08-29 00:30:04.749000+00:00,2024-08-29T00:30:04.927Z,2024-08-29T00:30:04.927Z
LZbDLEf5WK,MOOSPMv3Parser,1724892001,9.0,9.0,7.0,12.0,12.0,7.0,7.0,12.0,12.0,7.0,1756.0,502.0,14483.0,81.0,52.0,3.0,53.0,53.0,36.0,12.0,53.0,0.0,38.0,42.0,21.0,19.0,511.369,21.0,1.0,36.785492,-119.773033,57.362,7,600,58,3,e00fce6856818e5885f65487,2024-08-29 00:39:59.381000+00:00,2024-08-29T00:39:59.561Z,2024-08-29T00:39:59.561Z
zVdSjYrmT0,MOOSPMv3Parser,1724892000,2.78,2.78,6553.5,4.11,4.11,6553.5,6553.5,4.26,4.26,6553.5,734.18,218.45,4965042.5,29.77,6553.5,1.47,6553.5,6553.5,37.1,16.0,6553.5,65.54,0.0,327.7,0.0,655.3,51.109,6553.5,6553.5,0.0,0.0,0.0,0,590,58,1,e00fce682bbf742cd0b6768a,2024-08-29 00:40:02.028000+00:00,2024-08-29T00:40:02.226Z,2024-08-29T00:40:02.226Z
FXhh3fRoeh,MOOSPMv3Parser,1724892001,7.0,7.0,4.0,9.0,9.0,5.0,5.0,10.0,10.0,5.0,1424.0,379.0,1383.0,54.0,32.0,3.0,33.0,33.0,36.0,12.0,33.0,0.0,38.0,41.0,20.0,20.0,0.001,145.0,1.0,35.949474,-119.050179,106.307999,0,600,58,3,e00fce6808784ceaf209f949,2024-08-29 00:40:02.410000+00:00,2024-08-29T00:40:02.673Z,2024-08-29T00:40:02.673Z
JNFjDzzzCE,MOOSPMv3Parser,1724892000,3.38,3.38,2.15,4.92,4.92,2.25,2.25,5.24,5.24,2.25,1153.77,259.23,21690.24,34.96,16.81,1.57,16.87,16.87,37.9,9.3,16.88,0.36,38.8,43.7,15.6,14.8,0.0,123.6,1.0,36.138935,-120.368362,153.242004,6,600,58,1,e00fce68e77e43df92405fdb,2024-08-29 00:40:02.704000+00:00,2024-08-29T00:40:02.874Z,2024-08-29T00:40:02.874Z
uqOUHxItVU,MOOSPMv3Parser,1724892001,4.0,4.0,4.0,6.0,6.0,4.0,4.0,8.0,8.0,4.0,859.0,261.0,1406.0,42.0,29.0,4.0,30.0,30.0,0.0,0.0,30.0,0.0,37.0,39.0,21.0,21.0,0.0,8.0,1.0,36.43362,-119.923355,35.726002,0,600,58,3,e00fce6876826e255108c6bd,2024-08-29 00:40:03.284000+00:00,2024-08-29T00:40:03.489Z,2024-08-29T00:40:03.489Z
7Rfh9cRUwJ,MOOSPMv3Parser,1724892000,2.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,1005.0,203.0,55697.0,32.0,19.0,2.0,19.0,19.0,36.0,7.0,19.0,0.0,38.0,41.0,14.0,15.0,510.902,78.0,1.0,36.010456,-120.140366,201.113998,0,600,58,3,e00fce6850cac69f647dc199,2024-08-29 00:40:04.315000+00:00,2024-08-29T00:40:04.541Z,2024-08-29T00:40:04.541Z
