"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","counter","moos","ver","coreid","published_at","createdAt","updatedAt","date"
"45","NVGeDIqpyh","MOOSPMv3Parser",1761096000,20,18,11,27,24,11,11,28,26,11,3559,1012,805,155,85,5,85,85,25,38,85,0,26,28,44,41,0,325,1,36.139004,-120.368393,172.304993,7,600,58,3,"e00fce68f12da1a0c5de6248",2025-10-22 01:20:07,2025-10-22 01:20:07,2025-10-22 01:20:07,2025-10-22
"46","lWLn6kGsWM","MOOSPMv3Parser",1761096600,31,24,21,44,36,22,22,46,40,22,1633,1392,2533,234,166,14,166,166,25,38,166,0,24,27,48,42,39.666,205,1,36.138943,-120.368408,165.544998,10,600,58,3,"e00fce68d6b773b56ce8baa0",2025-10-22 01:30:02,2025-10-22 01:30:03,2025-10-22 01:30:03,2025-10-22
"47","W0zBHZFvHv","MOOSPMv3Parser",1761096600,32,25,9,44,36,10,10,45,39,10,1742,1462,555,236,74,11,74,74,25,38,74,0,24,28,48,41,22.736,449,1,36.139046,-120.368332,167.343002,8,600,58,3,"e00fce686dc2ef0a68fa40b0",2025-10-22 01:30:03,2025-10-22 01:30:03,2025-10-22 01:30:03,2025-10-22
"48","A3FXM7aWaT","MOOSPMv3Parser",1761096600,37,29,22,51,40,23,23,53,45,23,6400,1835,953,298,170,10,171,171,24,40,171,0,25,27,46,42,0,296,1,36.139011,-120.368225,195.363998,7,600,58,3,"e00fce68f12da1a0c5de6248",2025-10-22 01:30:08,2025-10-22 01:30:08,2025-10-22 01:30:08,2025-10-22
"49","cFn9G3TRAP","MOOSPMv3Parser",1761096600,36,29,21,50,40,22,22,51,43,22,6159,1770,54528,302,162,13,162,162,24,41,162,0,24,26,47,44,58.308,153,3277,36.139114,-120.36837,159.203003,7,600,58,3,"e00fce68e28dcbc9a589be10",2025-10-22 01:30:09,2025-10-22 01:30:09,2025-10-22 01:30:09,2025-10-22
"50","CrAS8cF7lu","MOOSPMv3Parser",1761096600,38,29,21,53,40,22,22,54,45,22,7200,1925,2361,306,165,9,165,165,25,35,165,0,24,27,47,42,36.116,99,3277,36.139137,-120.368172,214.412003,0,600,58,3,"e00fce6858b443fd80f27170",2025-10-22 01:30:18,2025-10-22 01:30:19,2025-10-22 01:30:19,2025-10-22
"51","lChChHVYnD","MOOSPMv3Parser",1761097200,43,32,23,59,45,24,24,60,49,24,8059,2147,2520,333,179,10,180,180,24,36,180,0,24,26,49,44,34.455,144,3277,36.138958,-120.368286,182.363007,7,599,58,3,"e00fce6858b443fd80f27170",2025-10-22 01:40:02,2025-10-22 01:40:02,2025-10-22 01:40:02,2025-10-22
"52","aDO7RbzxfW","MOOSPMv3Parser",1761097200,37,28,24,51,40,25,25,51,44,25,1857,1589,2691,265,187,16,188,188,24,39,188,0,24,27,50,43,36.667,252,1,36.139046,-120.368347,171.143005,8,600,58,3,"e00fce68d6b773b56ce8baa0",2025-10-22 01:40:02,2025-10-22 01:40:02,2025-10-22 01:40:02,2025-10-22
"53","QCnMyPbu75","MOOSPMv3Parser",1761097200,40,31,23,55,43,24,24,57,48,24,6824,1956,54683,331,179,14,180,180,24,42,180,0,24,26,48,46,55.976,173,3277,36.139114,-120.36837,159.201996,0,600,58,3,"e00fce68e28dcbc9a589be10",2025-10-22 01:40:02,2025-10-22 01:40:03,2025-10-22 01:40:03,2025-10-22
"54","0CiGAV3Wuz","MOOSPMv3Parser",1761097200,35,27,10,48,38,11,11,48,42,11,1848,1554,624,247,82,10,82,82,25,39,82,0,24,27,49,42,22.848,472,1,36.139019,-120.368401,162.050995,9,600,58,3,"e00fce686dc2ef0a68fa40b0",2025-10-22 01:40:03,2025-10-22 01:40:03,2025-10-22 01:40:03,2025-10-22
"55","MFXiw2AkFj","MOOSPMv3Parser",1761097200,44,32,24,60,45,26,26,62,51,26,7478,2142,1121,348,191,11,192,192,24,41,192,0,24,26,47,44,0.001,351,1,36.139072,-120.368286,181.563995,7,600,58,3,"e00fce68f12da1a0c5de6248",2025-10-22 01:40:06,2025-10-22 01:40:06,2025-10-22 01:40:06,2025-10-22
"56","efjhA3Jpt8","MOOSPMv3Parser",1761097800,74,51,24,105,73,25,25,106,75,25,3862,3382,783,628,189,26,190,190,24,41,190,0,23,26,52,44,20.471,474,1,36.139061,-120.36837,161.884995,9,599,58,3,"e00fce686dc2ef0a68fa40b0",2025-10-22 01:50:02,2025-10-22 01:50:02,2025-10-22 01:50:02,2025-10-22
"57","DwjD7A4VVl","MOOSPMv3Parser",1761097800,81,56,47,112,78,49,49,114,81,49,14082,3871,2832,665,367,24,368,368,24,38,368,0,23,26,51,46,33.269,147,3277,36.139046,-120.368362,184.141006,7,600,58,3,"e00fce6858b443fd80f27170",2025-10-22 01:50:02,2025-10-22 01:50:02,2025-10-22 01:50:02,2025-10-22
"58","t102u8uPN3","MOOSPMv3Parser",1761097800,73,51,58,103,73,60,60,106,76,60,3748,3317,3069,598,450,33,452,452,24,40,452,0,23,26,52,45,34.699,261,1,36.138954,-120.368401,158.347,10,600,58,3,"e00fce68d6b773b56ce8baa0",2025-10-22 01:50:02,2025-10-22 01:50:02,2025-10-22 01:50:02,2025-10-22
"59","SqRj7K6DvN","MOOSPMv3Parser",1761097800,82,57,53,116,81,56,56,119,85,56,13210,3898,1486,737,418,26,420,420,23,43,420,0,24,26,50,45,0.001,358,1,36.139053,-120.368492,164.214996,5,600,58,3,"e00fce68f12da1a0c5de6248",2025-10-22 01:50:07,2025-10-22 01:50:07,2025-10-22 01:50:07,2025-10-22
"60","oypTjPj8gk","MOOSPMv3Parser",1761097800,78,54,48,108,76,50,50,112,79,50,12556,3687,55008,683,377,28,378,378,23,45,378,0,23,25,51,48,50.975,190,3277,36.139004,-120.368385,162.893005,7,600,58,3,"e00fce68e28dcbc9a589be10",2025-10-22 01:50:07,2025-10-22 01:50:07,2025-10-22 01:50:07,2025-10-22
"61","hkzmvVQ640","MOOSPMv3Parser",1761098400,103,69,54,141,97,57,57,144,101,57,18094,4922,3199,814,425,29,426,426,23,39,426,0,23,25,51,47,32.382,125,3277,36.138969,-120.368294,176.042999,7,600,58,3,"e00fce6858b443fd80f27170",2025-10-22 02:00:02,2025-10-22 02:00:02,2025-10-22 02:00:02,2025-10-22
"62","Tf9flI32RK","MOOSPMv3Parser",1761098400,92,63,26,128,88,28,28,130,91,28,4328,3783,957,699,207,31,207,207,24,42,207,0,23,26,52,45,20.689,457,1,36.13903,-120.368378,164.309006,7,599,58,3,"e00fce686dc2ef0a68fa40b0",2025-10-22 02:00:02,2025-10-22 02:00:03,2025-10-22 02:00:03,2025-10-22
"63","8eblQl8rwL","MOOSPMv3Parser",1761098400,97,66,58,134,92,61,61,139,97,61,15873,4629,1885,818,455,27,457,457,23,44,457,0,24,25,50,46,0,314,1,36.139034,-120.368271,185.516006,6,600,58,3,"e00fce68f12da1a0c5de6248",2025-10-22 02:00:07,2025-10-22 02:00:07,2025-10-22 02:00:07,2025-10-22
"64","uL0kA224rI","MOOSPMv3Parser",1761098400,92,63,60,126,87,63,63,129,90,63,4307,3792,3461,654,467,38,469,469,23,41,469,0,23,25,52,46,33.104,228,1,36.139,-120.368324,161.464005,7,600,58,3,"e00fce68d6b773b56ce8baa0",2025-10-22 02:00:07,2025-10-22 02:00:07,2025-10-22 02:00:07,2025-10-22
"65","kLt80R0eJo","MOOSPMv3Parser",1761098400,98,66,56,134,92,59,59,138,96,59,15801,4596,55388,825,440,35,441,441,23,46,441,0,23,25,51,49,49.913,187,3277,36.139004,-120.368332,177.557007,6,600,58,3,"e00fce68e28dcbc9a589be10",2025-10-22 02:00:20,2025-10-22 02:00:20,2025-10-22 02:00:20,2025-10-22
"66","jtegrnrks1","MOOSPMv3Parser",1761099000,30,25,17,42,35,18,18,43,39,18,5922,1538,3313,235,133,9,133,133,23,42,133,0,22,25,55,49,31.339,179,3277,36.139072,-120.368355,170.677002,7,600,58,3,"e00fce6858b443fd80f27170",2025-10-22 02:10:02,2025-10-22 02:10:02,2025-10-22 02:10:02,2025-10-22
"67","HGBqDI8Wwx","MOOSPMv3Parser",1761099000,22,19,20,34,30,21,21,36,32,21,1340,1124,3593,198,157,16,158,158,23,42,158,0,22,25,56,48,30.327,277,1,36.138908,-120.368423,164.231003,6,600,58,3,"e00fce68d6b773b56ce8baa0",2025-10-22 02:10:02,2025-10-22 02:10:02,2025-10-22 02:10:02,2025-10-22
"68","BYI0iusGrz","MOOSPMv3Parser",1761099000,21,18,9,32,28,10,10,33,31,10,1334,1097,1016,181,71,10,71,71,23,43,71,0,22,25,56,47,17.756,482,1,36.139034,-120.36834,169.565002,8,599,58,3,"e00fce686dc2ef0a68fa40b0",2025-10-22 02:10:03,2025-10-22 02:10:03,2025-10-22 02:10:03,2025-10-22
"69","ah9sWJgJn6","MOOSPMv3Parser",1761099000,27,23,18,37,32,19,19,39,35,19,4731,1333,55506,224,137,12,138,138,22,50,138,0,22,24,55,51,46.477,214,3277,36.13895,-120.368156,199.102997,5,600,58,3,"e00fce68e28dcbc9a589be10",2025-10-22 02:10:03,2025-10-22 02:10:03,2025-10-22 02:10:03,2025-10-22
"70","Hp7dJZTLAr","MOOSPMv3Parser",1761099000,30,25,19,42,34,20,20,44,38,20,5304,1504,2016,242,150,10,151,151,22,47,151,0,23,25,54,49,0.001,372,1,36.139008,-120.368355,178.636993,5,600,58,3,"e00fce68f12da1a0c5de6248",2025-10-22 02:10:19,2025-10-22 02:10:19,2025-10-22 02:10:19,2025-10-22
"71","jTjbH0gvQM","MOOSPMv3Parser",1761099600,76,52,21,103,72,22,22,105,77,22,3769,3272,1157,563,167,21,167,168,23,43,168,0,22,25,55,47,18.014,471,1,36.138988,-120.36837,171.393005,7,599,58,3,"e00fce686dc2ef0a68fa40b0",2025-10-22 02:20:02,2025-10-22 02:20:02,2025-10-22 02:20:02,2025-10-22
"72","ZL5gvh86H5","MOOSPMv3Parser",1761099600,98,66,50,131,90,53,53,133,94,53,16925,4640,3653,741,393,22,394,395,23,42,395,0,22,24,54,49,30.394,146,3277,36.139084,-120.368217,193.246002,6,600,58,3,"e00fce6858b443fd80f27170",2025-10-22 02:20:02,2025-10-22 02:20:02,2025-10-22 02:20:02,2025-10-22
