"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","n_PM5_P","n_PM10_P","n_PM10_b","typ_size_b","temp_C","rh","o3","moos","coreid","published_at","createdAt","updatedAt","date"
"26","pG8DTlTCIC","MOOSPMPSParser",1682561161,5.47,5.47,6.39,7.31,7.31,13.63,19.29,9.07,9.07,22.11,1228.85,342,39149.94,38.1,43.02,4.34,49.96,50.99,2.01,1.37,51.07,0.98,28.4,37.1,34.677,42,"e00fce68a145996ae3d821b8",2023-04-27 02:06:01,2023-04-27 02:06:01,2023-04-27 02:06:01,2023-04-27
"27","wEQzXi3KKh","MOOSPMPSParser",1682561520,2.95,2.95,2.51,4.19,4.19,3.09,3.45,5.26,5.26,3.63,977.49,250.04,5175.75,29.53,19.51,3.04,19.99,20.06,1.39,0.91,20.06,0.58,28.8,37.2,39.328,42,"e00fce68f8f5a1da595c7249",2023-04-27 02:12:02,2023-04-27 02:12:02,2023-04-27 02:12:02,2023-04-27
"28","JIHg5GZ6pC","MOOSPMPSParser",1682561761,5.44,5.44,6.65,6.89,6.89,10.27,12.94,7.88,7.88,14.26,1181.35,331.5,39396.17,31.14,49.22,2.55,52.56,53.06,0.95,0.6,53.1,0.74,27.8,39.3,32.575,42,"e00fce68a145996ae3d821b8",2023-04-27 02:16:01,2023-04-27 02:16:01,2023-04-27 02:16:01,2023-04-27
"29","wopvEOYyY6","MOOSPMPSParser",1682562120,2.93,2.93,2.67,4.25,4.25,3.27,3.64,5.39,5.39,3.82,980.76,247.94,5348.1,31.01,20.77,3.05,21.26,21.34,1.57,0.77,21.35,0.61,28.3,37.9,40.276,42,"e00fce68f8f5a1da595c7249",2023-04-27 02:22:02,2023-04-27 02:22:02,2023-04-27 02:22:02,2023-04-27
"30","qd8Staf8T2","MOOSPMPSParser",1682562361,6.28,6.28,12.18,9.01,9.01,30.59,45.18,12.27,12.27,52.45,1347.76,385.02,39727.05,57.19,76.69,7.58,94.49,97.14,3.71,1.95,97.34,1.16,27.1,41.4,27.801,42,"e00fce68a145996ae3d821b8",2023-04-27 02:26:00,2023-04-27 02:26:01,2023-04-27 02:26:01,2023-04-27
"31","h6ekbCs8F5","MOOSPMPSParser",1682562720,2.87,2.87,2.41,4.12,4.12,2.81,3.03,4.75,4.75,3.13,959.73,248.17,5517.35,28.32,18.88,2.38,19.19,19.24,0.82,0.39,19.24,0.55,27.5,39.4,41.066,42,"e00fce68f8f5a1da595c7249",2023-04-27 02:32:02,2023-04-27 02:32:02,2023-04-27 02:32:02,2023-04-27
"32","iIvYZCKEl0","MOOSPMPSParser",1682562961,5.63,5.63,3.22,7.41,7.41,4.72,5.81,9.15,9.15,6.36,1228.82,344.36,39970.73,40.44,24.1,4.53,25.47,25.67,1.7,0.87,25.69,0.67,26.4,42.1,28.228,42,"e00fce68a145996ae3d821b8",2023-04-27 02:36:00,2023-04-27 02:36:01,2023-04-27 02:36:01,2023-04-27
"33","CXPnCdkDUu","MOOSPMPSParser",1682563320,3.03,3.03,2.27,4.41,4.41,2.6,2.76,4.99,4.99,2.84,991.67,254.85,5683.37,27.69,17.88,2.59,18.12,18.15,0.84,0.28,18.16,0.53,26.9,41.1,39.747,42,"e00fce68f8f5a1da595c7249",2023-04-27 02:42:02,2023-04-27 02:42:02,2023-04-27 02:42:02,2023-04-27
"34","WskzMrbMDF","MOOSPMPSParser",1682563561,4.91,4.91,2.91,5.86,5.86,3.53,3.91,6.68,6.68,4.09,1063.98,296.03,40179.25,25.31,22.62,1.96,23.13,23.2,0.9,0.49,23.21,0.56,26.1,42.9,31.079,42,"e00fce68a145996ae3d821b8",2023-04-27 02:46:01,2023-04-27 02:46:01,2023-04-27 02:46:01,2023-04-27
"35","huiMwvy8My","MOOSPMPSParser",1682563920,3.04,3.04,2.71,4.59,4.59,3.23,3.54,5.58,5.58,3.7,1030.73,262.57,5860.88,31.47,21.11,3.26,21.54,21.6,1.27,0.88,21.61,0.56,26.3,42.9,38.131,42,"e00fce68f8f5a1da595c7249",2023-04-27 02:52:02,2023-04-27 02:52:02,2023-04-27 02:52:02,2023-04-27
"36","1BUYKAZxdA","MOOSPMPSParser",1682564161,4.59,4.59,2.85,5.69,5.69,3.02,3.02,6.38,6.38,3.02,1036.78,292.25,40377.44,24.05,22.7,1.95,22.76,22.77,0.74,0.39,22.77,0.49,25.5,44.7,30.329,42,"e00fce68a145996ae3d821b8",2023-04-27 02:56:01,2023-04-27 02:56:01,2023-04-27 02:56:01,2023-04-27
"37","Wigv1xZKFr","MOOSPMPSParser",1682564520,3.31,3.31,2.52,4.8,4.8,2.97,3.22,5.41,5.41,3.34,1042.62,265.27,6039.79,29.56,19.7,3.42,20.06,20.11,0.79,0.47,20.11,0.55,25.8,44.9,35.41,42,"e00fce68f8f5a1da595c7249",2023-04-27 03:02:02,2023-04-27 03:02:02,2023-04-27 03:02:02,2023-04-27
"38","IxVVV2dhPO","MOOSPMPSParser",1682564761,4.51,4.51,3.42,5.37,5.37,4.06,4.42,6.04,6.04,4.6,1008,282.71,40571.65,22.3,26.76,1.72,27.26,27.34,0.66,0.45,27.35,0.56,24.7,47.2,28.919,42,"e00fce68a145996ae3d821b8",2023-04-27 03:06:00,2023-04-27 03:06:01,2023-04-27 03:06:01,2023-04-27
"39","ItAbrP8Gf0","MOOSPMPSParser",1682565120,3.65,3.65,2.87,5.09,5.09,3.5,3.89,5.88,5.88,4.08,1081.08,279.26,6216.24,33.25,22.33,2.68,22.85,22.92,1.01,0.58,22.93,0.57,25.1,46.6,34.601,42,"e00fce68f8f5a1da595c7249",2023-04-27 03:12:02,2023-04-27 03:12:02,2023-04-27 03:12:02,2023-04-27
"40","F0NYHYjudu","MOOSPMPSParser",1682565421,4.71,4.71,3.21,5.67,5.67,3.77,4.09,6.24,6.24,4.24,1031.23,291.53,40786.16,22.43,25.15,1.54,25.59,25.65,0.71,0.31,25.66,0.56,23.9,48.4,26.777,42,"e00fce68a145996ae3d821b8",2023-04-27 03:17:00,2023-04-27 03:17:01,2023-04-27 03:17:01,2023-04-27
"41","cOAhWOT8AA","MOOSPMPSParser",1682565720,3.79,3.79,3.18,5,5,3.88,4.31,6.21,6.21,4.52,1111.24,285.82,6411.42,29.78,24.71,3.24,25.29,25.37,1.52,0.92,25.38,0.58,24.6,48.9,31.331,42,"e00fce68f8f5a1da595c7249",2023-04-27 03:22:02,2023-04-27 03:22:02,2023-04-27 03:22:02,2023-04-27
"42","8hA07BNuuG","MOOSPMPSParser",1682566021,5.66,5.66,3.36,6.74,6.74,4.17,4.68,7.66,7.66,4.94,1185.47,335.36,41007.88,29.01,26.04,2.18,26.72,26.82,0.99,0.47,26.84,0.59,23.6,48.8,21.967,42,"e00fce68a145996ae3d821b8",2023-04-27 03:27:00,2023-04-27 03:27:01,2023-04-27 03:27:01,2023-04-27
"43","dCapOg0RzU","MOOSPMPSParser",1682566320,4.08,4.08,3.15,5.73,5.73,4.02,4.58,6.49,6.49,4.86,1180.88,304.52,6619.01,36.57,24.33,3.14,25.07,25.18,0.98,0.48,25.19,0.58,24.1,50.1,29.594,42,"e00fce68f8f5a1da595c7249",2023-04-27 03:32:02,2023-04-27 03:32:02,2023-04-27 03:32:02,2023-04-27
"44","HjKmxHo4r0","MOOSPMPSParser",1682566621,6.02,6.02,3.77,7.14,7.14,4.45,4.83,7.95,7.95,5.01,1229.29,348.58,41247.41,29.77,29.51,2.28,30.04,30.12,0.95,0.56,30.13,0.57,23.7,47.8,22.287,42,"e00fce68a145996ae3d821b8",2023-04-27 03:37:00,2023-04-27 03:37:01,2023-04-27 03:37:01,2023-04-27
"45","QwVYEmVxjl","MOOSPMPSParser",1682566920,4.13,4.13,3.18,5.69,5.69,3.66,3.9,6.53,6.53,4.02,1191.06,306.93,6819.34,36.21,24.99,2.72,25.35,25.4,1.09,0.66,25.41,0.54,23.9,50.2,28.261,42,"e00fce68f8f5a1da595c7249",2023-04-27 03:42:02,2023-04-27 03:42:02,2023-04-27 03:42:02,2023-04-27
"46","qteizSbDxX","MOOSPMPSParser",1682567221,6.14,6.14,4.43,7.37,7.37,5.93,6.95,8.25,8.25,7.46,1281.11,358.47,41502.57,31.68,33.89,2.14,35.2,35.4,0.8,0.45,35.42,0.64,23.5,48.8,22.047,42,"e00fce68a145996ae3d821b8",2023-04-27 03:47:00,2023-04-27 03:47:01,2023-04-27 03:47:01,2023-04-27
"47","K98NrERcGf","MOOSPMPSParser",1682567520,3.84,3.84,2.73,5.54,5.54,3.13,3.34,6.33,6.33,3.44,1149.41,295.1,7011.97,33.91,21.42,3.51,21.73,21.77,1.12,0.57,21.78,0.57,24,49.5,31.801,42,"e00fce68f8f5a1da595c7249",2023-04-27 03:52:02,2023-04-27 03:52:02,2023-04-27 03:52:02,2023-04-27
"48","HHua9VDLjU","MOOSPMPSParser",1682567821,7,7,4.67,8.57,8.57,5.65,6.25,9.73,9.73,6.54,1439.18,405.23,41781.74,36.8,36.33,2.86,37.13,37.25,1.3,0.96,37.27,0.57,22.8,50.7,19.86,42,"e00fce68a145996ae3d821b8",2023-04-27 03:57:01,2023-04-27 03:57:01,2023-04-27 03:57:01,2023-04-27
"49","GD0GmBerNF","MOOSPMPSParser",1682568120,3.95,3.95,2.64,5.5,5.5,3.02,3.21,6.29,6.29,3.3,1168.39,298.73,7199.92,31.69,20.73,3.39,21.01,21.04,1,0.47,21.05,0.55,23.9,50.1,31.666,42,"e00fce68f8f5a1da595c7249",2023-04-27 04:02:02,2023-04-27 04:02:02,2023-04-27 04:02:02,2023-04-27
"50","JYHwsArNrY","MOOSPMPSParser",1682568421,7.52,7.52,4.06,8.94,8.94,4.78,5.19,9.94,9.94,5.39,1492.04,423.45,42075.17,36.38,31.75,2.47,32.32,32.4,1.31,0.55,32.41,0.55,22.6,50.3,19.572,42,"e00fce68a145996ae3d821b8",2023-04-27 04:07:00,2023-04-27 04:07:01,2023-04-27 04:07:01,2023-04-27
"51","qkupaQMFhh","MOOSPMPSParser",1682568720,4.22,4.22,2.97,5.58,5.58,3.43,3.66,6.46,6.46,3.78,1182.5,304.77,7398.11,32.39,23.33,2.98,23.67,23.72,1.2,0.54,23.73,0.52,23.6,51.5,30.371,42,"e00fce68f8f5a1da595c7249",2023-04-27 04:12:02,2023-04-27 04:12:02,2023-04-27 04:12:02,2023-04-27
"52","k326q3HwvL","MOOSPMPSParser",1682569021,7.26,7.26,3.93,8.69,8.69,4.66,5.07,9.95,9.95,5.28,1442.89,411.11,42356.4,36.76,30.71,3,31.28,31.37,1.43,1.01,31.38,0.56,22.4,49.4,20.647,42,"e00fce68a145996ae3d821b8",2023-04-27 04:17:01,2023-04-27 04:17:01,2023-04-27 04:17:01,2023-04-27
"53","MVoCz3ghdf","MOOSPMPSParser",1682569320,4,4,3.03,5.66,5.66,3.38,3.52,6.34,6.34,3.59,1157.84,302.47,7596.23,34.41,23.9,3.11,24.14,24.17,1,0.38,24.18,0.53,23.5,51.9,31.545,42,"e00fce68f8f5a1da595c7249",2023-04-27 04:22:02,2023-04-27 04:22:02,2023-04-27 04:22:02,2023-04-27
"54","EdaGPIGrCz","MOOSPMPSParser",1682569621,7.1,7.1,3.97,8.5,8.5,4.47,4.68,9.28,9.28,4.79,1425.73,406.33,42616.07,33.14,31.32,1.84,31.66,31.71,0.74,0.52,31.72,0.54,22.3,49.6,21.52,42,"e00fce68a145996ae3d821b8",2023-04-27 04:27:01,2023-04-27 04:27:01,2023-04-27 04:27:01,2023-04-27
"55","Qntoj1lAWf","MOOSPMPSParser",1682569920,4.11,4.11,3.06,5.74,5.74,3.47,3.66,6.49,6.49,3.76,1173.38,302.14,7805.9,35.31,24.06,3.19,24.35,24.39,1.18,0.29,24.4,0.55,23,53.5,31.111,42,"e00fce68f8f5a1da595c7249",2023-04-27 04:32:02,2023-04-27 04:32:02,2023-04-27 04:32:02,2023-04-27
"56","qHdjfXeyTe","MOOSPMPSParser",1682570280,6.72,6.72,3.55,8.06,8.06,3.88,3.98,8.88,8.88,4.03,1364.07,387.09,42901.05,31.65,28.1,2.14,28.29,28.32,0.91,0.55,28.33,0.52,22.2,49.9,23.712,42,"e00fce68a145996ae3d821b8",2023-04-27 04:38:00,2023-04-27 04:38:00,2023-04-27 04:38:00,2023-04-27
"57","wyS37fc7Yt","MOOSPMPSParser",1682570521,3.68,3.68,3.22,5.32,5.32,4.15,4.75,6.41,6.41,5.06,1120.92,288.61,8020.85,37.5,24.81,3.46,25.6,25.72,1.52,0.51,25.73,0.62,23.1,51.7,33.199,42,"e00fce68f8f5a1da595c7249",2023-04-27 04:42:02,2023-04-27 04:42:02,2023-04-27 04:42:02,2023-04-27
"58","WCanGMXBBa","MOOSPMPSParser",1682570880,7.35,7.35,4.34,8.82,8.82,4.83,5.03,9.83,9.83,5.13,1460.18,417.24,43175.09,35.96,34.27,2.87,34.59,34.64,1.06,0.89,34.65,0.54,21.4,54,20.597,42,"e00fce68a145996ae3d821b8",2023-04-27 04:48:00,2023-04-27 04:48:00,2023-04-27 04:48:00,2023-04-27
"59","Cek4qSG4Zu","MOOSPMPSParser",1682571121,3.49,3.49,2.59,5.05,5.05,2.97,3.15,6,6,3.24,1072.19,275.19,8210.9,33.58,20.36,3.19,20.63,20.67,1.3,0.55,20.68,0.54,22.8,52.1,32.967,42,"e00fce68f8f5a1da595c7249",2023-04-27 04:52:02,2023-04-27 04:52:02,2023-04-27 04:52:02,2023-04-27
"60","tUvso3fXmB","MOOSPMPSParser",1682571480,7.84,7.84,3.87,9.24,9.24,4.31,4.48,9.85,9.85,4.56,1550.12,438.52,43472.29,37.93,30.6,1.39,30.88,30.92,0.52,0.4,30.93,0.56,21.2,54.3,17.805,42,"e00fce68a145996ae3d821b8",2023-04-27 04:57:59,2023-04-27 04:58:00,2023-04-27 04:58:00,2023-04-27
"61","6xqJFnnwAc","MOOSPMPSParser",1682571721,3.17,3.17,3.17,4.77,4.77,3.54,3.69,5.85,5.85,3.77,1034.78,268.4,8408.45,33.17,25.06,3.35,25.31,25.34,1.41,0.75,25.35,0.52,22.6,51.9,33.422,42,"e00fce68f8f5a1da595c7249",2023-04-27 05:02:02,2023-04-27 05:02:02,2023-04-27 05:02:02,2023-04-27
"62","yVauVmatmc","MOOSPMPSParser",1682572080,8.43,8.43,4.65,9.85,9.85,5.18,5.39,10.78,10.78,5.5,1641.8,463.81,43775.73,40.53,36.71,2.44,37.06,37.11,0.78,0.55,37.12,0.53,20.6,56.5,15.476,42,"e00fce68a145996ae3d821b8",2023-04-27 05:07:59,2023-04-27 05:08:00,2023-04-27 05:08:00,2023-04-27
"63","xBoCbdgMwy","MOOSPMPSParser",1682572321,3.68,3.68,3.16,5.53,5.53,3.68,3.96,6.5,6.5,4.1,1103.76,286.66,8622.36,37.72,24.78,3.68,25.18,25.24,1.25,0.91,25.25,0.57,21.9,54.5,31.079,42,"e00fce68f8f5a1da595c7249",2023-04-27 05:12:02,2023-04-27 05:12:02,2023-04-27 05:12:02,2023-04-27
